Estacao;Data;Hora;Precipitacao;Temp Comp Media;
83914;23/06/2017;1200;0;;
83914;24/06/2017;0000;;15.86;
83914;24/06/2017;1200;0;;
83914;25/06/2017;0000;;15.54;
83914;25/06/2017;1200;0;;
83914;26/06/2017;0000;;13.96;
83914;26/06/2017;1200;0;;
83914;27/06/2017;0000;;16.12;
83914;27/06/2017;1200;0;;
83914;28/06/2017;0000;;16.9;
83914;28/06/2017;1200;0;;
83914;29/06/2017;0000;;16.44;
83914;29/06/2017;1200;0;;
83914;30/06/2017;0000;;13.8;
83914;30/06/2017;1200;0;;
83914;01/07/2017;0000;;10.1;
83914;01/07/2017;1200;0.5;;
83914;02/07/2017;0000;;8.96;
83914;02/07/2017;1200;0;;
83914;03/07/2017;0000;;10.34;
83914;03/07/2017;1200;0;;
83914;04/07/2017;0000;;12.66;
83914;04/07/2017;1200;0;;
83914;05/07/2017;0000;;13.2;
83914;05/07/2017;1200;0;;
83914;06/07/2017;0000;;13.34;
83914;06/07/2017;1200;0;;
83914;07/07/2017;0000;;14.16;
83914;07/07/2017;1200;0;;
83914;08/07/2017;0000;;15.04;
83914;08/07/2017;1200;0;;
83914;09/07/2017;0000;;15.84;
83914;09/07/2017;1200;0;;
83914;10/07/2017;0000;;16.92;
83914;10/07/2017;1200;0.2;;
83914;11/07/2017;0000;;17.04;
83914;11/07/2017;1200;0;;
83914;12/07/2017;0000;;17.94;
83914;12/07/2017;1200;0;;
83914;13/07/2017;0000;;16.14;
83914;13/07/2017;1200;0;;
83914;14/07/2017;0000;;16.6;
83914;14/07/2017;1200;0;;
83914;15/07/2017;0000;;17.78;
83914;15/07/2017;1200;0;;
83914;16/07/2017;0000;;11.6;
83914;16/07/2017;1200;0;;
83914;17/07/2017;0000;;2.72;
83914;17/07/2017;1200;18.8;;
83914;18/07/2017;0000;;2.38;
83914;18/07/2017;1200;1.8;;
83914;19/07/2017;0000;;6.68;
83914;19/07/2017;1200;0;;
83914;20/07/2017;0000;;9.58;
83914;20/07/2017;1200;0;;
83914;21/07/2017;0000;;10.72;
83914;21/07/2017;1200;0;;
83914;22/07/2017;0000;;11.9;
83914;22/07/2017;1200;0;;
83914;23/07/2017;0000;;14.5;
83914;23/07/2017;1200;0;;
